Date,BadgeID,DoorName,SwipeTime,Direction
2025-04-01,CHI868165,Lobby Access,14:51:00,Entry
2025-04-01,CHI788940,Lobby Access,14:04:00,Entry
2025-04-01,CHI525526,Garage Entrance,15:22:00,Exit
2025-04-01,CHI810834,Lobby Access,11:53:00,Exit
2025-04-01,CHI333235,Lobby Access,16:38:00,Exit
2025-04-01,CHI472374,Lobby Access,10:12:00,Entry
2025-04-01,CHI363079,Lobby Access,16:00:00,Entry
2025-04-01,CHI699637,North Side Door,13:21:00,Exit
2025-04-01,CHI746467,Lobby Access,15:41:00,Entry
2025-04-01,CHI653089,Lobby Access,12:49:00,Entry
2025-04-01,CHI884911,Lobby Access,14:19:00,Entry
2025-04-01,CHI233747,Executive Entrance,11:45:00,Entry
2025-04-01,CHI756409,5th Floor Entry,08:17:00,Exit
2025-04-01,CHI968469,Executive Entrance,16:49:00,Entry
2025-04-01,CHI567705,North Side Door,10:25:00,Entry
2025-04-01,CHI310949,Executive Entrance,10:36:00,Entry
2025-04-01,CHI690033,Lobby Access,08:28:00,Entry
2025-04-01,CHI771652,Service Door,16:01:00,Entry
2025-04-01,CHI238787,Garage Entrance,14:58:00,Exit
2025-04-01,CHI989875,Garage Entrance,15:44:00,Entry
2025-04-01,CHI508611,Lobby Access,15:37:00,Entry
2025-04-01,CHI469968,5th Floor Entry,10:06:00,Entry
2025-04-01,CHI546542,Lobby Access,15:25:00,Exit
2025-04-01,CHI205205,Service Door,10:39:00,Exit
2025-04-01,CHI329706,Lobby Access,08:01:00,Entry
2025-04-01,CHI414648,Garage Entrance,09:52:00,Entry
2025-04-01,CHI470203,Garage Entrance,09:04:00,Entry
2025-04-01,CHI343333,Lobby Access,11:15:00,Exit
2025-04-01,CHI311093,Lobby Access,10:14:00,Entry
2025-04-02,CHI375766,North Side Door,09:51:00,Entry
2025-04-02,CHI740925,Executive Entrance,11:11:00,Exit
2025-04-02,CHI690033,Executive Entrance,11:36:00,Entry
2025-04-02,CHI868165,Garage Entrance,16:36:00,Entry
2025-04-02,CHI205205,Lobby Access,13:16:00,Entry
2025-04-02,CHI566011,North Side Door,14:09:00,Entry
2025-04-02,CHI699637,Service Door,13:14:00,Exit
2025-04-02,CHI333235,Lobby Access,16:41:00,Entry
2025-04-02,CHI745081,Lobby Access,13:45:00,Exit
2025-04-02,CHI653089,Garage Entrance,08:27:00,Entry
2025-04-02,CHI469968,Service Door,13:24:00,Entry
2025-04-02,CHI343333,Garage Entrance,11:45:00,Entry
2025-04-02,CHI664880,Lobby Access,13:40:00,Exit
2025-04-02,CHI912450,Lobby Access,15:57:00,Exit
2025-04-02,CHI525526,Lobby Access,11:39:00,Exit
2025-04-02,CHI810834,5th Floor Entry,11:04:00,Entry
2025-04-02,CHI301313,Lobby Access,12:42:00,Entry
2025-04-02,CHI414648,Service Door,09:54:00,Entry
2025-04-02,CHI884911,Executive Entrance,14:09:00,Entry
2025-04-02,CHI788940,5th Floor Entry,08:08:00,Exit
2025-04-02,CHI746467,5th Floor Entry,10:54:00,Entry
2025-04-02,CHI329706,5th Floor Entry,11:34:00,Exit
2025-04-02,CHI959411,Lobby Access,13:29:00,Exit
2025-04-02,CHI328240,Lobby Access,15:15:00,Exit
2025-04-02,CHI311093,Lobby Access,13:35:00,Entry
2025-04-02,CHI360250,Lobby Access,08:30:00,Entry
2025-04-02,CHI487086,Executive Entrance,08:34:00,Exit
2025-04-02,CHI472374,5th Floor Entry,15:23:00,Entry
2025-04-02,CHI470203,Lobby Access,10:42:00,Entry
2025-04-03,CHI970015,Garage Entrance,08:50:00,Exit
2025-04-03,CHI756409,Lobby Access,14:37:00,Exit
2025-04-03,CHI699637,Lobby Access,14:37:00,Entry
2025-04-03,CHI525526,Lobby Access,08:33:00,Entry
2025-04-03,CHI959411,Lobby Access,09:37:00,Entry
2025-04-03,CHI508611,Lobby Access,11:59:00,Entry
2025-04-03,CHI360250,Lobby Access,10:25:00,Entry
2025-04-03,CHI989875,Executive Entrance,14:33:00,Entry
2025-04-03,CHI375766,North Side Door,10:08:00,Exit
2025-04-03,CHI495230,Executive Entrance,11:16:00,Entry
2025-04-03,CHI349377,Lobby Access,15:08:00,Entry
2025-04-03,CHI329706,Service Door,14:44:00,Entry
2025-04-03,CHI653089,Lobby Access,15:40:00,Exit
2025-04-03,CHI205205,North Side Door,12:21:00,Entry
2025-04-03,CHI968469,Service Door,09:38:00,Entry
2025-04-03,CHI470203,Lobby Access,11:01:00,Entry
2025-04-03,CHI343333,Lobby Access,08:55:00,Exit
2025-04-03,CHI301313,Lobby Access,09:01:00,Entry
2025-04-03,CHI912450,Executive Entrance,08:04:00,Entry
2025-04-03,CHI239982,Service Door,14:44:00,Exit
2025-04-03,CHI414648,Lobby Access,14:25:00,Exit
2025-04-03,CHI469968,Executive Entrance,08:18:00,Entry
2025-04-03,CHI333235,5th Floor Entry,09:19:00,Entry
2025-04-03,CHI690033,Executive Entrance,15:06:00,Exit
2025-04-03,CHI999797,Lobby Access,16:03:00,Entry
2025-04-03,CHI566011,Executive Entrance,09:40:00,Entry
2025-04-03,CHI926462,Lobby Access,08:45:00,Entry
2025-04-03,CHI487086,North Side Door,10:20:00,Entry
2025-04-03,CHI745081,Executive Entrance,08:44:00,Entry
2025-04-04,CHI238787,Lobby Access,15:25:00,Entry
2025-04-04,CHI884911,Service Door,11:15:00,Entry
2025-04-04,CHI746467,Lobby Access,13:37:00,Entry
2025-04-04,CHI771652,Lobby Access,08:15:00,Entry
2025-04-04,CHI328240,Garage Entrance,12:41:00,Entry
2025-04-04,CHI788940,5th Floor Entry,13:38:00,Entry
2025-04-04,CHI360250,Lobby Access,13:48:00,Entry
2025-04-04,CHI926462,Lobby Access,12:40:00,Exit
2025-04-04,CHI239982,Lobby Access,08:17:00,Entry
2025-04-04,CHI999797,Lobby Access,13:28:00,Exit
2025-04-04,CHI363079,North Side Door,10:18:00,Entry
2025-04-04,CHI968469,Lobby Access,10:09:00,Exit
