Date,BadgeID,DoorName,SwipeTime,Direction
2025-04-01,MIA749886,Side Entrance,12:23:00,Entry
2025-04-01,MIA577765,Side Entrance,09:10:00,Entry
2025-04-01,MIA724056,Side Entrance,10:11:00,Entry
2025-04-01,MIA674555,Side Entrance,15:45:00,Entry
2025-04-01,MIA638799,Side Entrance,13:38:00,Exit
2025-04-01,MIA889775,Side Entrance,14:01:00,Entry
2025-04-01,MIA564031,Side Entrance,08:38:00,Exit
2025-04-01,MIA184794,Main Entrance,11:43:00,Entry
2025-04-01,MIA464152,Side Entrance,10:20:00,Exit
2025-04-01,MIA186403,Side Entrance,12:15:00,Entry
2025-04-01,MIA602163,Main Entrance,11:02:00,Entry
2025-04-01,MIA170985,Side Entrance,10:18:00,Entry
2025-04-01,MIA767002,Side Entrance,15:04:00,Entry
2025-04-02,MIA184794,Main Entrance,09:37:00,Entry
2025-04-02,MIA222752,Side Entrance,08:51:00,Entry
2025-04-02,MIA937555,Side Entrance,11:15:00,Entry
2025-04-02,MIA444805,Main Entrance,13:43:00,Entry
2025-04-02,MIA170985,Main Entrance,15:49:00,Entry
2025-04-02,MIA674555,Main Entrance,09:23:00,Exit
2025-04-02,MIA638799,Main Entrance,08:24:00,Entry
2025-04-02,MIA767002,Main Entrance,11:14:00,Exit
2025-04-02,MIA577765,Side Entrance,12:19:00,Entry
2025-04-02,MIA749886,Side Entrance,09:01:00,Entry
2025-04-02,MIA505373,Main Entrance,08:06:00,Entry
2025-04-02,MIA745250,Main Entrance,15:40:00,Entry
2025-04-02,MIA313506,Main Entrance,15:59:00,Entry
2025-04-03,MIA724056,Side Entrance,11:03:00,Exit
2025-04-03,MIA745250,Main Entrance,11:05:00,Entry
2025-04-03,MIA222752,Main Entrance,12:59:00,Entry
2025-04-03,MIA564031,Main Entrance,15:13:00,Exit
2025-04-03,MIA749886,Main Entrance,10:26:00,Entry
2025-04-03,MIA964236,Main Entrance,12:47:00,Exit
2025-04-03,MIA638799,Main Entrance,13:13:00,Exit
2025-04-03,MIA577765,Side Entrance,11:56:00,Entry
2025-04-03,MIA313506,Main Entrance,14:33:00,Exit
2025-04-03,MIA464152,Main Entrance,14:03:00,Entry
2025-04-03,MIA889775,Main Entrance,15:55:00,Exit
2025-04-03,MIA505373,Main Entrance,13:55:00,Exit
2025-04-03,MIA186403,Main Entrance,10:30:00,Exit
2025-04-04,MIA222752,Main Entrance,12:08:00,Entry
2025-04-04,MIA444805,Side Entrance,08:19:00,Entry
2025-04-04,MIA745250,Side Entrance,15:13:00,Exit
2025-04-04,MIA724056,Main Entrance,09:24:00,Entry
2025-04-04,MIA602163,Side Entrance,10:38:00,Exit
2025-04-04,MIA375783,Main Entrance,08:45:00,Entry
2025-04-04,MIA964236,Side Entrance,16:43:00,Entry
2025-04-04,MIA464152,Main Entrance,11:53:00,Entry
2025-04-04,MIA186403,Main Entrance,11:59:00,Entry
2025-04-04,MIA889775,Side Entrance,13:32:00,Exit
2025-04-04,MIA313506,Main Entrance,13:08:00,Entry
2025-04-04,MIA674555,Side Entrance,15:23:00,Exit
2025-04-04,MIA469362,Main Entrance,10:58:00,Entry
2025-04-05,MIA964236,Side Entrance,12:38:00,Entry
2025-04-05,MIA749886,Side Entrance,09:26:00,Entry
2025-04-05,MIA577765,Side Entrance,09:07:00,Exit
2025-04-05,MIA222752,Main Entrance,15:01:00,Entry
2025-04-05,MIA889775,Main Entrance,08:42:00,Entry
2025-04-05,MIA313506,Side Entrance,16:27:00,Exit
2025-04-05,MIA184794,Side Entrance,11:47:00,Exit
2025-04-05,MIA464152,Side Entrance,11:39:00,Exit
2025-04-05,MIA937555,Main Entrance,08:43:00,Entry
2025-04-05,MIA564031,Main Entrance,08:41:00,Entry
2025-04-05,MIA602163,Main Entrance,10:33:00,Entry
2025-04-05,MIA674555,Side Entrance,14:11:00,Exit
2025-04-05,MIA767002,Side Entrance,16:05:00,Exit
2025-04-06,MIA638799,Main Entrance,10:12:00,Exit
2025-04-06,MIA313506,Main Entrance,09:56:00,Entry
2025-04-06,MIA186403,Main Entrance,11:40:00,Entry
2025-04-06,MIA222752,Side Entrance,08:44:00,Exit
2025-04-06,MIA937555,Main Entrance,12:29:00,Entry
2025-04-06,MIA184794,Side Entrance,09:14:00,Entry
2025-04-06,MIA469362,Side Entrance,15:22:00,Entry
2025-04-06,MIA889775,Main Entrance,09:56:00,Entry
2025-04-06,MIA724056,Main Entrance,15:48:00,Entry
