Date,BadgeID,DoorName,SwipeTime,Direction
2025-04-01,NYC876835,VIP Access,13:55:00,Entry
2025-04-01,NYC648304,Front Entrance,11:10:00,Entry
2025-04-01,NYC289349,Executive Lobby,14:37:00,Entry
2025-04-01,NYC583526,Freight Dock,15:44:00,Exit
2025-04-01,NYC173842,Front Entrance,11:39:00,Entry
2025-04-01,NYC206377,Front Entrance,11:07:00,Entry
2025-04-01,NYC312978,Freight Dock,11:47:00,Entry
2025-04-01,NYC364218,Executive Lobby,12:11:00,Entry
2025-04-01,NYC964056,Executive Lobby,12:07:00,Entry
2025-04-01,NYC639513,Freight Dock,08:55:00,Entry
2025-04-01,NYC653377,Executive Lobby,10:45:00,Entry
2025-04-01,NYC910004,VIP Access,14:49:00,Exit
2025-04-01,NYC358750,Front Entrance,09:24:00,Entry
2025-04-01,NYC246222,Garage Entry,08:26:00,Entry
2025-04-01,NYC790412,Rear Service Door,10:58:00,Entry
2025-04-01,NYC123385,Front Entrance,10:44:00,Exit
2025-04-01,NYC858297,Rear Service Door,15:47:00,Entry
2025-04-01,NYC137441,Freight Dock,13:46:00,Entry
2025-04-01,NYC127620,Rear Service Door,08:49:00,Entry
2025-04-01,NYC994262,Rear Service Door,15:04:00,Exit
2025-04-01,NYC648965,Front Entrance,14:02:00,Entry
2025-04-01,NYC349196,Freight Dock,13:27:00,Exit
2025-04-01,NYC945466,Front Entrance,16:37:00,Entry
2025-04-01,NYC681863,Front Entrance,14:20:00,Entry
2025-04-01,NYC459859,Freight Dock,11:32:00,Entry
2025-04-01,NYC830774,Executive Lobby,10:38:00,Exit
2025-04-01,NYC618933,Front Entrance,14:48:00,Entry
2025-04-01,NYC108867,Freight Dock,11:29:00,Exit
2025-04-01,NYC229939,Front Entrance,08:01:00,Entry
2025-04-01,NYC899721,Front Entrance,08:50:00,Exit
2025-04-01,NYC899376,VIP Access,11:37:00,Entry
2025-04-01,NYC125351,2nd Floor Access,16:59:00,Entry
2025-04-01,NYC101605,2nd Floor Access,16:57:00,Entry
2025-04-01,NYC611906,Rear Service Door,15:03:00,Entry
2025-04-01,NYC643578,VIP Access,12:33:00,Entry
2025-04-01,NYC248511,Front Entrance,08:13:00,Exit
2025-04-01,NYC361690,Front Entrance,15:47:00,Exit
2025-04-01,NYC779829,Freight Dock,16:04:00,Entry
2025-04-01,NYC760615,Front Entrance,08:54:00,Entry
2025-04-01,NYC354518,Front Entrance,14:40:00,Exit
2025-04-01,NYC483855,Front Entrance,14:47:00,Entry
2025-04-01,NYC848265,East Entrance,13:14:00,Entry
2025-04-01,NYC214343,2nd Floor Access,10:10:00,Exit
2025-04-01,NYC912411,VIP Access,12:55:00,Entry
2025-04-01,NYC570084,2nd Floor Access,10:53:00,Entry
2025-04-01,NYC311407,Garage Entry,13:13:00,Entry
2025-04-01,NYC818602,Front Entrance,14:59:00,Exit
2025-04-01,NYC626599,Front Entrance,14:28:00,Exit
2025-04-01,NYC417246,Rear Service Door,14:46:00,Entry
2025-04-01,NYC536377,Freight Dock,08:43:00,Entry
2025-04-01,NYC145907,Front Entrance,12:51:00,Entry
2025-04-01,NYC280373,Front Entrance,10:33:00,Entry
2025-04-01,NYC205459,Rear Service Door,15:16:00,Entry
2025-04-01,NYC388530,Front Entrance,16:11:00,Exit
2025-04-01,NYC788398,Front Entrance,09:17:00,Exit
2025-04-01,NYC590887,Front Entrance,10:59:00,Entry
2025-04-01,NYC535349,Garage Entry,16:46:00,Exit
2025-04-01,NYC536912,VIP Access,09:53:00,Entry
2025-04-01,NYC849438,Front Entrance,15:55:00,Entry
2025-04-01,NYC955195,Freight Dock,12:20:00,Exit
2025-04-01,NYC644612,VIP Access,16:47:00,Exit
2025-04-01,NYC318186,Front Entrance,16:59:00,Exit
2025-04-01,NYC808290,2nd Floor Access,11:05:00,Entry
2025-04-01,NYC483334,Freight Dock,16:07:00,Entry
2025-04-01,NYC823318,2nd Floor Access,10:53:00,Entry
2025-04-01,NYC260775,Front Entrance,14:42:00,Entry
2025-04-01,NYC275526,Freight Dock,08:17:00,Entry
2025-04-01,NYC146706,Front Entrance,15:04:00,Exit
2025-04-02,NYC316310,Front Entrance,10:43:00,Entry
2025-04-02,NYC140838,Rear Service Door,11:51:00,Entry
2025-04-02,NYC849438,Front Entrance,15:29:00,Entry
2025-04-02,NYC611906,Front Entrance,10:46:00,Exit
2025-04-02,NYC823318,Front Entrance,14:02:00,Entry
2025-04-02,NYC413235,East Entrance,08:55:00,Exit
2025-04-02,NYC818602,Front Entrance,12:58:00,Entry
2025-04-02,NYC125351,2nd Floor Access,10:42:00,Entry
2025-04-02,NYC311407,Garage Entry,09:10:00,Entry
2025-04-02,NYC375624,Front Entrance,14:41:00,Entry
2025-04-02,NYC483855,Front Entrance,09:43:00,Entry
2025-04-02,NYC451165,2nd Floor Access,08:47:00,Exit
2025-04-02,NYC349196,Front Entrance,14:31:00,Exit
2025-04-02,NYC955195,Rear Service Door,09:23:00,Entry
2025-04-02,NYC703042,Executive Lobby,12:28:00,Entry
2025-04-02,NYC137441,VIP Access,15:33:00,Entry
2025-04-02,NYC910004,Front Entrance,08:16:00,Exit
2025-04-02,NYC790412,Front Entrance,15:30:00,Entry
2025-04-02,NYC132627,Rear Service Door,15:44:00,Entry
2025-04-02,NYC480498,Front Entrance,11:37:00,Entry
2025-04-02,NYC108867,VIP Access,09:08:00,Entry
