Date,BadgeID,DoorName,SwipeTime,Direction
2025-04-01,PHL674932,Parking Garage,12:17:00,Exit
2025-04-01,PHL391012,3rd Floor Entry,09:50:00,Exit
2025-04-01,PHL844725,East Side Entry,12:23:00,Entry
2025-04-01,PHL354151,Main Entrance,14:00:00,Exit
2025-04-01,PHL325431,Loading Dock,14:55:00,Entry
2025-04-01,PHL493988,3rd Floor Entry,16:25:00,Entry
2025-04-01,PHL717475,Main Entrance,09:34:00,Entry
2025-04-01,PHL688164,Main Entrance,10:43:00,Entry
2025-04-01,PHL119149,Main Entrance,11:08:00,Entry
2025-04-01,PHL197885,Main Entrance,13:15:00,Entry
2025-04-01,PHL270308,Main Entrance,08:11:00,Exit
2025-04-01,PHL980297,3rd Floor Entry,16:05:00,Entry
2025-04-01,PHL330407,Conference Access,15:35:00,Entry
2025-04-01,PHL372016,Loading Dock,12:10:00,Exit
2025-04-01,PHL640819,Conference Access,16:40:00,Exit
2025-04-01,PHL921760,West Wing Door,13:53:00,Entry
2025-04-01,PHL556591,West Wing Door,11:37:00,Exit
2025-04-01,PHL143449,Main Entrance,10:49:00,Exit
2025-04-01,PHL576010,Main Entrance,16:31:00,Entry
2025-04-01,PHL261385,Main Entrance,15:29:00,Entry
2025-04-01,PHL540465,Roof Access,13:01:00,Entry
2025-04-01,PHL107893,East Side Entry,15:10:00,Entry
2025-04-01,PHL179684,Main Entrance,16:37:00,Exit
2025-04-01,PHL621110,Main Entrance,10:38:00,Exit
2025-04-01,PHL634412,3rd Floor Entry,15:27:00,Entry
2025-04-01,PHL753194,Main Entrance,11:50:00,Exit
2025-04-01,PHL763774,3rd Floor Entry,13:50:00,Entry
2025-04-01,PHL721985,South Entrance,09:53:00,Entry
2025-04-01,PHL448603,Main Entrance,09:53:00,Entry
2025-04-01,PHL354590,Main Entrance,12:41:00,Exit
2025-04-01,PHL764325,Roof Access,12:33:00,Entry
2025-04-01,PHL883644,Loading Dock,15:56:00,Entry
2025-04-01,PHL434443,3rd Floor Entry,12:14:00,Entry
2025-04-01,PHL980224,Main Entrance,14:36:00,Entry
2025-04-01,PHL859012,Main Entrance,13:57:00,Entry
2025-04-01,PHL919143,Main Entrance,09:43:00,Exit
2025-04-01,PHL154838,Main Entrance,16:52:00,Exit
2025-04-01,PHL677975,Main Entrance,10:20:00,Entry
2025-04-01,PHL162285,Loading Dock,13:39:00,Entry
2025-04-01,PHL991777,Main Entrance,10:17:00,Entry
2025-04-01,PHL650066,South Entrance,16:14:00,Entry
2025-04-01,PHL704027,3rd Floor Entry,14:08:00,Entry
2025-04-01,PHL530527,South Entrance,10:31:00,Entry
2025-04-01,PHL628272,Conference Access,11:23:00,Entry
2025-04-01,PHL946255,Main Entrance,09:44:00,Exit
2025-04-01,PHL747991,Loading Dock,11:04:00,Entry
2025-04-01,PHL976817,Conference Access,12:21:00,Entry
2025-04-01,PHL444945,West Wing Door,13:44:00,Entry
2025-04-01,PHL509770,Conference Access,08:02:00,Exit
2025-04-01,PHL461798,Main Entrance,09:39:00,Exit
2025-04-01,PHL469593,3rd Floor Entry,16:28:00,Entry
2025-04-01,PHL113573,3rd Floor Entry,08:38:00,Exit
2025-04-01,PHL711894,Side Door East,15:23:00,Entry
2025-04-01,PHL804499,Main Entrance,14:13:00,Entry
2025-04-01,PHL195340,Main Entrance,09:08:00,Entry
2025-04-01,PHL570609,Parking Garage,15:10:00,Entry
