Date,Room,UtilizationRate
2025-04-01,Room 1,0.74
2025-04-01,Room 2,0.65
2025-04-01,Room 3,0.74
2025-04-01,Room 4,0.72
2025-04-01,Room 5,0.74
2025-04-01,Room 6,0.7
2025-04-02,Room 1,0.66
2025-04-02,Room 2,0.71
2025-04-02,Room 3,0.72
2025-04-02,Room 4,0.69
2025-04-02,Room 5,0.66
2025-04-02,Room 6,0.68
2025-04-03,Room 1,0.74
2025-04-03,Room 2,0.74
2025-04-03,Room 3,0.75
2025-04-03,Room 4,0.66
2025-04-03,Room 5,0.72
2025-04-03,Room 6,0.74
2025-04-04,Room 1,0.65
2025-04-04,Room 2,0.74
2025-04-04,Room 3,0.73
2025-04-04,Room 4,0.7
2025-04-04,Room 5,0.69
2025-04-04,Room 6,0.66
2025-04-05,Room 1,0.17
2025-04-05,Room 2,0.19
2025-04-05,Room 3,0.11
2025-04-05,Room 4,0.12
2025-04-05,Room 5,0.13
2025-04-05,Room 6,0.17
2025-04-06,Room 1,0.18
2025-04-06,Room 2,0.16
2025-04-06,Room 3,0.17
2025-04-06,Room 4,0.14
2025-04-06,Room 5,0.13
2025-04-06,Room 6,0.19
2025-04-07,Room 1,0.7
2025-04-07,Room 2,0.73
2025-04-07,Room 3,0.65
2025-04-07,Room 4,0.67
2025-04-07,Room 5,0.69
2025-04-07,Room 6,0.72
2025-04-08,Room 1,0.72
2025-04-08,Room 2,0.72
2025-04-08,Room 3,0.7
2025-04-08,Room 4,0.66
2025-04-08,Room 5,0.7
2025-04-08,Room 6,0.67
2025-04-09,Room 1,0.68
2025-04-09,Room 2,0.74
2025-04-09,Room 3,0.68
2025-04-09,Room 4,0.7
2025-04-09,Room 5,0.67
2025-04-09,Room 6,0.72
2025-04-10,Room 1,0.71
2025-04-10,Room 2,0.66
2025-04-10,Room 3,0.72
2025-04-10,Room 4,0.7
2025-04-10,Room 5,0.73
2025-04-10,Room 6,0.69
2025-04-11,Room 1,0.74
2025-04-11,Room 2,0.66
2025-04-11,Room 3,0.72
2025-04-11,Room 4,0.74
2025-04-11,Room 5,0.68
2025-04-11,Room 6,0.71
2025-04-12,Room 1,0.11
2025-04-12,Room 2,0.14
2025-04-12,Room 3,0.15
2025-04-12,Room 4,0.1
2025-04-12,Room 5,0.13
2025-04-12,Room 6,0.1
2025-04-13,Room 1,0.16
2025-04-13,Room 2,0.12
2025-04-13,Room 3,0.19
2025-04-13,Room 4,0.15
2025-04-13,Room 5,0.17
2025-04-13,Room 6,0.12
2025-04-14,Room 1,0.74
2025-04-14,Room 2,0.67
2025-04-14,Room 3,0.67
2025-04-14,Room 4,0.72
2025-04-14,Room 5,0.73
2025-04-14,Room 6,0.65
2025-04-15,Room 1,0.71
2025-04-15,Room 2,0.69
2025-04-15,Room 3,0.66
2025-04-15,Room 4,0.69
2025-04-15,Room 5,0.68
2025-04-15,Room 6,0.67
2025-04-16,Room 1,0.71
